clearinghouse_id,system_name,county,population,service_connections,total_population,clearinghouse_water_type
CA2810001,HOWELL MOUNTAIN MUTUAL WATER COMPANY,NAPA,1498,399,1498,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA0110016,ALAMEDA POINT,ALAMEDA,1500,400,1500,Consecutive Connections
CA3110035,PCWA - WEIMAR,PLACER,1500,564,1500,Surface Water
CA5410011,SPRINGVILLE PUD,TULARE,1500,390,1500,Surface Water
CA3910022,LITTLE POTATO SLOUGH MUTUAL,SAN JOAQUIN,1510,202,1510,Surface Water
CA3310030,PINE COVE WATER DISTRICT,RIVERSIDE,1540,1116,1540,"Consecutive Connections,Groundwater & GWUDI"
CA4510013,SHASTA C.S.D.,SHASTA,1584,944,1584,Surface Water
CA5410012,STRATHMORE PUBLIC UTIL DIST,TULARE,1690,473,1690,"Groundwater & GWUDI,Surface Water"
CA4910003,PENNGROVE WATER COMPANY (PUC),SONOMA,1742,528,1742,Consecutive Connections
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,LOS ANGELES,1790,725,1790,"Consecutive Connections,Groundwater & GWUDI"
CA3110034,CHRISTIAN VALLEY PARK CSD,PLACER,1800,631,1800,Surface Water
CA3610854,SEARLES VALLEY MINERALS OPERATIONS INC,SAN BERNARDINO,1818,777,1818,"Consecutive Connections,Groundwater & GWUDI"
CA3910002,SAN JOAQUIN COUNTY - COLONIAL HEIGHTS,SAN JOAQUIN,1841,559,1841,Consecutive Connections
CA3610051,VALLEY OF ENCHANTMENT MWC,SAN BERNARDINO,1992,823,1992,"Consecutive Connections,Groundwater & GWUDI"
CA5010039,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,STANISLAUS,2000,596,2000,Surface Water
CA3610105,GOLDEN STATE WATER CO - APPLE VLY NORTH,SAN BERNARDINO,2008,743,2008,"Consecutive Connections,Groundwater & GWUDI"
CA2410018,SANTA NELLA COUNTY WATER DISTRICT,MERCED,2211,664,2211,"Groundwater & GWUDI,Surface Water"
CA4510002,MOUNTAIN GATE C.S.D.,SHASTA,2227,669,2227,"Groundwater & GWUDI,Surface Water"
CA1510002,BORON CSD,KERN,2253,641,2253,"Consecutive Connections,Groundwater & GWUDI"
CA3610114,CLAWA,SAN BERNARDINO,2320,1236,2320,Surface Water
CA1910241,LIBERTY UTILITIES - MESA CREST,LOS ANGELES,2336,708,2336,Consecutive Connections
CA3610048,TERRACE WATER COMPANY,SAN BERNARDINO,2400,606,2400,"Consecutive Connections,Groundwater & GWUDI"
CA1010013,"HUME LAKE CHRISTIAN CAMPS, INC",FRESNO,2427,388,2427,"Groundwater & GWUDI,Surface Water"
CA3610011,CEDARPINES PARK MWC,SAN BERNARDINO,2458,745,2458,"Consecutive Connections,Groundwater & GWUDI"
CA3110012,AGATE BAY WATER COMPANY,PLACER,2500,584,2500,"Spring Water,Surface Water"
CA3610002,ALPINE WATER USERS ASSOCIATION,SAN BERNARDINO,2534,933,2534,"Consecutive Connections,Groundwater & GWUDI"
CA3110015,FULTON WATER COMPANY,PLACER,2593,926,2593,"Groundwater & GWUDI,Surface Water"
CA1510033,CWS - KERNVILLE,KERN,2602,1904,2602,"Groundwater & GWUDI,Surface Water"
CA2010017,"TESORO VIEJO MASTER MWC, INC.",MADERA,2640,627,2640,Surface Water
CA0910019,LAKESIDE PARK ASSOCIATION,EL DORADO,2648,142,2648,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA3610093,ARROWHEAD VILLAS MUTUAL SERVICE COMPANY,SAN BERNARDINO,2654,798,2654,"Consecutive Connections,Groundwater & GWUDI"
CA2810007,TOWN OF YOUNTVILLE,NAPA,2751,838,2751,"Consecutive Connections,Groundwater & GWUDI"
CA5810006,NORTH YUBA WATER DISTRICT,YUBA,2772,795,2772,Surface Water
CA4810021,CITY OF VALLEJO-LAKES SYSTEM,SOLANO,2800,854,2800,Surface Water
CA5410503,NPS-WOLVERTON,TULARE,2940,125,2940,"Groundwater & GWUDI,Surface Water"
CA3310019,IDYLLWILD WATER DISTRICT,RIVERSIDE,2963,1617,2963,"Consecutive Connections,Groundwater & GWUDI"
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,LOS ANGELES,2985,1273,2985,"Consecutive Connections,Groundwater & GWUDI"
CA2810008,VETERANS HOME OF CALIFORNIA,NAPA,0,10,3010,Surface Water
CA3601182,HIGH DESERT DETENTION CENTER,SAN BERNARDINO,3035,2,3035,"Consecutive Connections,Groundwater & GWUDI"
CA3610028,MARYGOLD MWC,SAN BERNARDINO,3055,951,3055,"Consecutive Connections,Groundwater & GWUDI"
CA5410038,TERRA BELLA IRRIGATION DISTRICT - TBT,TULARE,3056,803,3056,"Groundwater & GWUDI,Surface Water"
CA3610023,GREEN VALLEY MWC,SAN BERNARDINO,3062,1170,3062,"Consecutive Connections,Groundwater & GWUDI"
CA3310018,HOME GARDENS COUNTY WD,RIVERSIDE,3095,864,3095,Consecutive Connections
CA3610085,SAN ANTONIO WATER COMPANY,SAN BERNARDINO,3111,1219,3111,"Consecutive Connections,Groundwater & GWUDI"
CA3110006,PLACER CWA - COLFAX,PLACER,3114,966,3114,Surface Water
CA1910160,TRACT 349 MUTUAL WATER CO.,LOS ANGELES,3132,949,3132,"Consecutive Connections,Groundwater & GWUDI"
CA1910002,AMARILLO MUTUAL WATER COMPANY,LOS ANGELES,3134,625,3134,"Consecutive Connections,Groundwater & GWUDI"
CA2910002,CITY OF NEVADA CITY,NEVADA,3148,1257,3148,Surface Water
CA3810702,TREASURE ISLAND,SAN FRANCISCO,3214,186,3214,Consecutive Connections
CA0910007,LUKINS BROTHERS WATER COMPANY,EL DORADO,3267,991,3267,"Consecutive Connections,Groundwater & GWUDI"
CA4910019,FORESTVILLE WATER DISTRICT,SONOMA,3291,1010,3291,Consecutive Connections
CA3710044,RINCON DEL DIABLO MWD (ID-A),SAN DIEGO,3316,1057,3316,Consecutive Connections
CA3110042,TAHOE SWISS VILLAGE UTILITY,PLACER,3411,413,3411,"Groundwater & GWUDI,Surface Water"
CA3810700,PRESIDIO OF SAN FRANCISCO,SAN FRANCISCO,3500,1219,3500,"Consecutive Connections,Surface Water"
CA3410030,"FOLSOM, CITY OF - ASHLAND",SACRAMENTO,3538,1078,3538,Consecutive Connections
CA3310004,BOX SPRINGS MUTUAL WC,RIVERSIDE,3542,654,3542,"Consecutive Connections,Groundwater & GWUDI"
CA3710004,"DEL MAR, CITY OF",SAN DIEGO,3929,1869,3929,Consecutive Connections
CA3410045,CAL AM - ARDEN,SACRAMENTO,3950,1197,3950,"Consecutive Connections,Groundwater & GWUDI"
CA3610109,SHEEP CREEK WATER COMPANY,SAN BERNARDINO,3954,1198,3954,"Consecutive Connections,Groundwater & GWUDI"
CA3310046,FARM MUTUAL W.C. (THE),RIVERSIDE,4026,1265,4026,"Consecutive Connections,Groundwater & GWUDI"
CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,LOS ANGELES,4096,1797,4096,"Groundwater & GWUDI,Surface Water"
CA1910050,"COMMERCE-CITY, WATER DEPT.",LOS ANGELES,4207,983,4207,"Consecutive Connections,Groundwater & GWUDI"
CA4510011,CENTERVILLE C.S.D.,SHASTA,4211,1259,4211,Consecutive Connections
CA3310800,CALIFORNIA REHABILITATION CENTER - NORCO,RIVERSIDE,4300,1357,4300,"Consecutive Connections,Hauled Water"
CA1910147,SUBURBAN WATER SYSTEMS - SATIVA,LOS ANGELES,4385,1331,4385,"Consecutive Connections,Groundwater & GWUDI"
CA3310082,NORTH PERRIS WATER SYSTEM,RIVERSIDE,4500,1389,4500,"Consecutive Connections,Groundwater & GWUDI"
CA2010003,BASS LAKE WATER COMPANY,MADERA,4527,1017,4527,"Groundwater & GWUDI,Surface Water"
CA3310048,COACHELLA VWD: I.D. NO. 8,RIVERSIDE,4600,1635,4600,"Consecutive Connections,Groundwater & GWUDI"
CA1910165,VALLEY VIEW MUTUAL WATER CO.,LOS ANGELES,4604,1391,4604,"Consecutive Connections,Groundwater & GWUDI"
CA1510014,MOJAVE PUD,KERN,4699,1201,4699,"Consecutive Connections,Groundwater & GWUDI"
CA3410032,FOLSOM STATE PRISON,SACRAMENTO,4730,2790,4730,Surface Water
CA1510703,CHINA LAKE NAVAL AIR WEAPONS STATION,KERN,4800,1380,4800,"Consecutive Connections,Groundwater & GWUDI"
CA1910061,LAS FLORES WATER CO.,LOS ANGELES,4847,1479,4847,"Consecutive Connections,Groundwater & GWUDI"
CA1910248,LOS ANGELES CWWD 37-ACTON,LOS ANGELES,4929,1454,4929,"Consecutive Connections,Groundwater & GWUDI"
CA2910001,CITY OF GRASS VALLEY,NEVADA,4947,2486,4947,Surface Water
CA4810800,CALIFORNIA STATE PRISON - SOLANO,SOLANO,5100,1,5100,"Consecutive Connections,Surface Water"
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,LOS ANGELES,5249,1554,5249,Consecutive Connections
CA3110009,MEADOW VISTA CWD,PLACER,5250,1591,5250,Surface Water
CA3610062,RUNNING SPRINGS WATER DISTRICT,SAN BERNARDINO,5268,3005,5268,"Consecutive Connections,Groundwater & GWUDI"
CA1910117,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 2,LOS ANGELES,5300,1502,5300,"Consecutive Connections,Groundwater & GWUDI"
CA4300997,NASA AMES RESEARCH CENTER,SANTA CLARA,5300,300,5300,Consecutive Connections
CA2810004,"ST. HELENA, CITY OF",NAPA,5386,2552,5386,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA3310033,SANTA ANA RIVER WATER COMPANY,RIVERSIDE,5405,1721,5405,"Consecutive Connections,Groundwater & GWUDI"
CA1910084,MAYWOOD MUTUAL WATER CO. #1,LOS ANGELES,5500,1173,5500,"Consecutive Connections,Groundwater & GWUDI"
CA1910103,PALM RANCH IRRIGATION DIST.,LOS ANGELES,5507,1712,5507,"Consecutive Connections,Groundwater & GWUDI"
CA2810002,"CALISTOGA, CITY OF",NAPA,5610,1591,5610,"Consecutive Connections,Surface Water"
CA1910218,LA HABRA HEIGHTS CWD,LOS ANGELES,5682,2002,5682,"Consecutive Connections,Groundwater & GWUDI"
CA1910185,LOS ANGELES CWWD 36-VAL VERDE,LOS ANGELES,5701,1429,5701,"Consecutive Connections,Groundwater & GWUDI"
CA3410005,RANCHO MURIETA COMMUNITY SERVI,SACRAMENTO,5874,2824,5874,Surface Water
CA3110150,CAL AM - WEST PLACER,PLACER,5900,1788,5900,Consecutive Connections
CA3910010,SAN JOAQUIN COUNTY - LINCOLN VILLAGE,SAN JOAQUIN,5990,1815,5990,Consecutive Connections
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,LOS ANGELES,5999,1817,5999,"Consecutive Connections,Groundwater & GWUDI"
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,LOS ANGELES,6111,1852,6111,"Consecutive Connections,Groundwater & GWUDI"
CA3610107,GOLDEN STATE WATER CO - APPLE VLY SOUTH,SAN BERNARDINO,6167,1952,6167,"Consecutive Connections,Groundwater & GWUDI"
CA3110001,NORTH TAHOE PUD - MAIN,PLACER,6321,3277,6321,"Groundwater & GWUDI,Surface Water"
CA1910085,MAYWOOD MUTUAL WATER CO. #2,LOS ANGELES,6349,1924,6349,"Consecutive Connections,Groundwater & GWUDI"
CA1910255,SANTA CLARITA VALLEY W.A.-TESORO DIV.,LOS ANGELES,6453,1156,6453,Consecutive Connections
CA0410007,PARADISE IRRIGATION DISTRICT,BUTTE,9142,9368,6518,"Groundwater & GWUDI,Surface Water"
CA3110003,FORESTHILL PUBLIC UTILITY DIST,PLACER,6700,2117,6700,"Groundwater & GWUDI,Surface Water"
CA3310026,NUEVO WATER COMPANY,RIVERSIDE,6733,1893,6733,"Consecutive Connections,Groundwater & GWUDI"
CA4310021,PURISSIMA HILLS WATER DISTRICT,SANTA CLARA,6822,2141,6822,Consecutive Connections
CA3110026,NEVADA ID - NORTH AUBURN,PLACER,6870,2383,6870,Surface Water
CA2910014,NEVADA ID - LAKE OF PINES,NEVADA,6870,2447,6870,Surface Water
CA1900046,PETER PITCHESS HONOR RANCHO DETN. CTR,LOS ANGELES,7000,1952,7000,"Consecutive Connections,Groundwater & GWUDI"
CA3610005,LAKE ARROWHEAD CSD,SAN BERNARDINO,7008,7920,7008,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA3910803,CDCR CALIFORNIA HEALTH CARE FACILITY,SAN JOAQUIN,7100,79,7100,Consecutive Connections
CA4910016,"COTATI, CITY OF",SONOMA,7360,2698,7360,"Consecutive Connections,Groundwater & GWUDI"
CA2410002,CITY OF DOS PALOS,MERCED,7452,2521,7452,Surface Water
CA3610053,WESTERN HEIGHTS WATER COMPANY,SAN BERNARDINO,7521,2279,7521,"Consecutive Connections,Groundwater & GWUDI"
CA4910023,CALIFORNIA-AMERICAN LARKFIELD (PUC),SONOMA,7702,2334,7702,"Consecutive Connections,Groundwater & GWUDI"
CA1910163,VALENCIA HEIGHTS WATER CO.,LOS ANGELES,7775,1681,7775,"Consecutive Connections,Groundwater & GWUDI"
CA3410033,FLORIN COUNTY WATER DISTRICT,SACRAMENTO,7831,2405,7831,"Consecutive Connections,Groundwater & GWUDI"
CA3310029,"PERRIS, CITY OF",RIVERSIDE,7854,2557,7854,Consecutive Connections
CA1910195,GSWC - HOLLYDALE,LOS ANGELES,8016,1665,8016,"Consecutive Connections,Groundwater & GWUDI"
CA1910060,LA PUENTE VALLEY CWD,LOS ANGELES,8213,2489,8213,"Consecutive Connections,Groundwater & GWUDI"
CA4510016,CLEAR CREEK CSD-ANDERSON,SHASTA,8900,2372,8900,"Groundwater & GWUDI,Surface Water"
CA1510020,"TEHACHAPI, CITY OF",KERN,9094,3472,9094,"Consecutive Connections,Groundwater & GWUDI,Hauled Water"
CA2910023,NEVADA ID - LAKE WILDWOOD,NEVADA,9108,3217,9108,Surface Water
CA0910003,"PLACERVILLE, CITY OF - MAIN",EL DORADO,9224,2805,9224,Consecutive Connections
CA1910054,LA CANADA IRRIGATION DIST.,LOS ANGELES,9300,2949,9300,"Consecutive Connections,Groundwater & GWUDI"
CA1010044,"HURON, CITY OF",FRESNO,9306,945,9306,Surface Water
CA1910189,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 1,LOS ANGELES,9349,1580,9349,Consecutive Connections
CA0910013,GEORGETOWN DIVIDE PUD,EL DORADO,9409,3775,9409,Surface Water
CA1910086,MAYWOOD MUTUAL WATER CO. #3,LOS ANGELES,9500,2014,9500,"Consecutive Connections,Groundwater & GWUDI"
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,LOS ANGELES,9600,3128,9600,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA1010023,CITY OF ORANGE COVE,FRESNO,9780,1705,9780,Surface Water
CA1510045,GOLDEN HILLS CSD,KERN,9808,2972,9808,"Consecutive Connections,Groundwater & GWUDI"
CA1910020,CAL-AM WATER COMPANY - EAST PASADENA,LOS ANGELES,9949,2979,9949,"Consecutive Connections,Groundwater & GWUDI"
CA1910247,SANTA CLARITA VALLEY W.A.-CASTAIC DIV.,LOS ANGELES,9967,1910,9967,"Consecutive Connections,Groundwater & GWUDI"
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,SAN BERNARDINO,10030,4954,10030,"Consecutive Connections,Groundwater & GWUDI,Spring Water"
CA3410002,SCWA - ARDEN PARK VISTA,SACRAMENTO,10035,3060,10035,"Consecutive Connections,Groundwater & GWUDI"
CA3310017,SOUTH MESA WC,RIVERSIDE,10061,3030,10061,"Consecutive Connections,Groundwater & GWUDI"
CA1910166,VALLEY WATER CO.,LOS ANGELES,10070,3611,10070,"Consecutive Connections,Groundwater & GWUDI"
CA1910072,GSWC - WILLOWBROOK,LOS ANGELES,10615,1445,10615,"Consecutive Connections,Groundwater & GWUDI"
CA4510006,CITY OF SHASTA LAKE,SHASTA,10657,3900,10657,Surface Water
CA0410011,DEL ORO WATER CO.-PARADISE PINES,BUTTE,10900,3303,10900,"Consecutive Connections,Groundwater & GWUDI"
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",LOS ANGELES,11000,3804,11000,"Consecutive Connections,Groundwater & GWUDI"
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,BUTTE,11056,3558,11056,"Groundwater & GWUDI,Surface Water"
CA1910203,"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM",LOS ANGELES,11183,2931,11183,"Consecutive Connections,Groundwater & GWUDI"
CA1910108,CITY OF BELL GARDENS,LOS ANGELES,11292,1688,11292,"Consecutive Connections,Groundwater & GWUDI"
CA4910012,"SONOMA, CITY OF",SONOMA,11725,4341,11725,"Consecutive Connections,Groundwater & GWUDI"
CA4810009,CITY OF DIXON,SOLANO,11784,3571,11784,"Consecutive Connections,Groundwater & GWUDI"
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",LOS ANGELES,11795,3051,11795,"Consecutive Connections,Groundwater & GWUDI"
CA0410008,THERMALITO WATER & SEWER DIST,BUTTE,12136,3141,12136,"Groundwater & GWUDI,Surface Water"
CA1510701,EDWARDS AFB - MAIN BASE,KERN,12355,1088,12355,"Consecutive Connections,Groundwater & GWUDI"
CA1910005,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",LOS ANGELES,12620,3661,12620,"Consecutive Connections,Groundwater & GWUDI"
CA5410006,"LINDSAY, CITY OF",TULARE,12659,3085,12659,"Groundwater & GWUDI,Surface Water"
CA1610002,"AVENAL, CITY OF",KINGS,13819,2082,13819,Surface Water
CA1610700,LEMOORE NAVAL AIR STATION,KINGS,14000,1396,14000,"Groundwater & GWUDI,Surface Water"
CA2910006,NEVADA ID - LOMA RICA,NEVADA,14072,4980,14072,Surface Water
CA1510032,"CALIFORNIA CITY, CITY OF",KERN,14198,4570,14198,"Consecutive Connections,Groundwater & GWUDI"
CA5010005,CITY OF MODESTO - SALIDA,STANISLAUS,14537,4405,14537,"Consecutive Connections,Groundwater & GWUDI"
CA3710700,CAMP PENDLETON (NORTH),SAN DIEGO,15000,1605,15000,"Consecutive Connections,Groundwater & GWUDI"
CA1910153,SOUTH MONTEBELLO IRRIGATION DIST.,LOS ANGELES,15021,2346,15021,"Consecutive Connections,Groundwater & GWUDI"
CA3410023,CAL AM - FRUITRIDGE VISTA,SACRAMENTO,15167,4596,15167,"Consecutive Connections,Groundwater & GWUDI"
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",LOS ANGELES,15275,5489,15275,"Consecutive Connections,Groundwater & GWUDI"
CA3410018,RIO LINDA/ELVERTA COMMUNITY WATER DIST,SACRAMENTO,15404,4646,15404,"Consecutive Connections,Groundwater & GWUDI"
CA3110028,NORTHSTAR C.S.D.,PLACER,15428,953,15428,"Groundwater & GWUDI,Spring Water,Surface Water"
CA1910250,SANTA CLARITA VALLEY W.A.-PINETREE DIV.,LOS ANGELES,15713,2823,15713,"Consecutive Connections,Groundwater & GWUDI"
CA1910063,LINCOLN AVENUE WATER CO.,LOS ANGELES,16126,4477,16126,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA1910169,WALNUT PARK MUTUAL WATER CO.,LOS ANGELES,16180,2832,16180,"Consecutive Connections,Groundwater & GWUDI"
CA3600152,LOMA LINDA UNIVERSITY,SAN BERNARDINO,16327,97,16327,"Consecutive Connections,Groundwater & GWUDI"
CA3310036,WESTERN MWD - MURRIETA DIVISION,RIVERSIDE,16373,2860,16373,"Consecutive Connections,Groundwater & GWUDI"
CA4310018,CITY OF CUPERTINO,SANTA CLARA,16336,4627,16530,"Consecutive Connections,Groundwater & GWUDI"
CA3410016,ORANGE VALE WATER COMPANY,SACRAMENTO,16861,5728,16861,"Consecutive Connections,Groundwater & GWUDI"
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",LOS ANGELES,16898,6159,16898,"Consecutive Connections,Hauled Water"
CA1910096,SANTA CLARITA VALLEY W.A.-NEWHALL DIV.,LOS ANGELES,17154,3862,17154,"Consecutive Connections,Groundwater & GWUDI"
CA2910004,"NEVADA ID - E. GEORGE, BANNER MOUNTAIN",NEVADA,17154,6151,17154,"Consecutive Connections,Surface Water"
CA1010004,COALINGA-CITY,FRESNO,17277,4026,17277,Surface Water
CA1510018,ROSAMOND CSD,KERN,17516,5280,17516,"Consecutive Connections,Groundwater & GWUDI"
CA1910191,"NORWALK - CITY, WATER DEPT.",LOS ANGELES,17790,5398,17790,"Consecutive Connections,Groundwater & GWUDI"
CA4810701,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,SOLANO,18111,1,18111,"Consecutive Connections,Groundwater & GWUDI"
CA4510014,BELLA VISTA WATER DISTRICT,SHASTA,18612,6489,18612,"Groundwater & GWUDI,Surface Water"
CA3310032,"SAN JACINTO, CITY OF",RIVERSIDE,18950,4324,18950,"Consecutive Connections,Groundwater & GWUDI"
CA1910130,QUARTZ HILL WATER DIST.,LOS ANGELES,19100,5807,19100,"Consecutive Connections,Groundwater & GWUDI"
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.",LOS ANGELES,19219,5542,19219,"Consecutive Connections,Groundwater & GWUDI"
CA3610057,RIVERSIDE HIGHLAND WATER COMPANY,SAN BERNARDINO,19503,5943,19503,"Consecutive Connections,Groundwater & GWUDI"
CA1910073,"LOMITA-CITY, WATER DEPT.",LOS ANGELES,20256,4414,20256,"Consecutive Connections,Groundwater & GWUDI"
CA3310074,TEMESCAL VALLEY WATER DISTRICT,RIVERSIDE,20526,6388,20526,Consecutive Connections
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,LOS ANGELES,20859,6192,20859,"Consecutive Connections,Groundwater & GWUDI"
CA2810005,"AMERICAN CANYON, CITY OF",NAPA,20990,5323,20990,Surface Water
CA3710023,SANTA FE I.D.,SAN DIEGO,21539,6510,21539,"Consecutive Connections,Surface Water"
CA1510055,CWS - NORTH GARDEN,KERN,22620,8339,22620,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,BUTTE,22664,6868,22727,Surface Water
CA1910038,"EL MONTE-CITY, WATER DEPT.",LOS ANGELES,22968,3528,22968,"Consecutive Connections,Groundwater & GWUDI"
CA4910013,VALLEY OF THE MOON WATER DISTRICT,SONOMA,23687,7048,23077,"Consecutive Connections,Groundwater & GWUDI"
CA3510001,"HOLLISTER, CITY OF",SAN BENITO,23358,7828,23358,"Consecutive Connections,Groundwater & GWUDI"
CA3510003,SUNNYSLOPE COUNTY WATER DIST,SAN BENITO,23499,7234,23499,"Consecutive Connections,Groundwater & GWUDI"
CA3710016,RAINBOW MUNICIPAL WD,SAN DIEGO,23536,8849,23536,Consecutive Connections
CA3610120,PHELAN PINON HILLS CSD,SAN BERNARDINO,23585,7204,23585,"Consecutive Connections,Groundwater & GWUDI"
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT,CONTRA COSTA,23693,5070,23693,"Consecutive Connections,Groundwater & GWUDI"
CA1910021,LIBERTY UTILITIES - COMPTON,LOS ANGELES,23802,7006,23802,"Consecutive Connections,Groundwater & GWUDI"
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",LOS ANGELES,23946,5350,23946,"Consecutive Connections,Groundwater & GWUDI"
CA3910027,MOUNTAIN HOUSE COMMUNITY SERVICES DIST.,SAN JOAQUIN,24040,7285,24040,Surface Water
CA1910161,LIBERTY UTILITIES - LYNWOOD,LOS ANGELES,24171,4481,24171,"Consecutive Connections,Groundwater & GWUDI"
CA3610013,"LOMA LINDA, CITY OF",SAN BERNARDINO,24791,5823,24791,"Consecutive Connections,Groundwater & GWUDI"
CA3310025,"NORCO, CITY OF",RIVERSIDE,24909,7422,24909,"Consecutive Connections,Groundwater & GWUDI"
CA1910101,ORCHARD DALE WATER DISTRICT,LOS ANGELES,25000,4331,25000,Consecutive Connections
CA1910154,CITY OF SOUTH PASADENA,LOS ANGELES,25329,6410,25329,"Consecutive Connections,Groundwater & GWUDI"
CA1910223,GSWC-SOUTH SAN GABRIEL,LOS ANGELES,25907,4997,25907,"Consecutive Connections,Groundwater & GWUDI"
CA4910017,"WINDSOR, TOWN OF",SONOMA,25985,9018,25985,"Consecutive Connections,Groundwater & GWUDI"
CA3410704,SCWA MATHER-SUNRISE,SACRAMENTO,25988,7875,25988,"Consecutive Connections,Groundwater & GWUDI"
CA3610073,HI DESERT WD,SAN BERNARDINO,26032,11016,26032,"Consecutive Connections,Groundwater & GWUDI"
CA3110005,PLACER CWA - AUBURN/BOWMAN,PLACER,20169,8555,26267,Surface Water
CA1910091,MONTEBELLO LAND & WATER CO.,LOS ANGELES,26554,3957,26554,"Consecutive Connections,Groundwater & GWUDI"
CA1910212,GSWC-SOUTH ARCADIA,LOS ANGELES,26688,7583,26688,"Consecutive Connections,Groundwater & GWUDI"
CA4810001,CITY OF BENICIA,SOLANO,27131,9735,27131,Surface Water
CA1910167,"VERNON-CITY, WATER DEPT.",LOS ANGELES,28000,1058,28000,"Consecutive Connections,Groundwater & GWUDI"
CA0710006,CITY OF MARTINEZ,CONTRA COSTA,28518,10170,28518,Consecutive Connections
CA3410021,SAN JUAN WATER DISTRICT,SACRAMENTO,28971,10802,28971,Surface Water
CA3710018,RINCON DEL DIABLO MWD (ID-1),SAN DIEGO,29206,7577,29206,Consecutive Connections
CA4810005,SUISUN-SOLANO WATER AUTHORITY,SOLANO,29530,8713,29530,Surface Water
CA3710026,VALLEY CENTER MWD,SAN DIEGO,29708,9578,29708,Consecutive Connections
CA4310028,SAN JOSE STATE UNIVERSITY,SANTA CLARA,30000,1,30000,Consecutive Connections
CA3310006,"BANNING, CITY OF",RIVERSIDE,31179,11337,31179,"Consecutive Connections,Groundwater & GWUDI"
CA1910062,"LA VERNE, CITY WD",LOS ANGELES,32206,8816,32206,"Consecutive Connections,Groundwater & GWUDI"
CA4310013,STANFORD UNIVERSITY,SANTA CLARA,32235,1523,32235,"Consecutive Connections,Groundwater & GWUDI"
CA1510006,EAST NILES CSD,KERN,32517,8126,32517,"Consecutive Connections,Groundwater & GWUDI"
CA1910028,CRESCENTA VALLEY CWD,LOS ANGELES,32665,8282,32665,"Consecutive Connections,Groundwater & GWUDI"
CA1910204,LOS ANGELES CWWD 29 & 80-MALIBU,LOS ANGELES,32719,8031,32719,Consecutive Connections
CA1910127,"COVINA-CITY, WATER DEPT.",LOS ANGELES,33300,8612,33300,Consecutive Connections
CA3310016,"HEMET, CITY OF",RIVERSIDE,33828,9692,33828,"Consecutive Connections,Groundwater & GWUDI"
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",LOS ANGELES,34668,13258,34668,"Consecutive Connections,Groundwater & GWUDI"
CA3910015,CITY OF LATHROP,SAN JOAQUIN,35080,9893,35080,"Consecutive Connections,Groundwater & GWUDI"
CA3710019,RAMONA MUNICIPAL WD,SAN DIEGO,35135,9613,35135,Consecutive Connections
CA3410031,CAL AM - ANTELOPE,SACRAMENTO,35204,10668,35204,"Consecutive Connections,Groundwater & GWUDI"
CA3710008,FALLBROOK PUD,SAN DIEGO,35237,9167,35237,"Consecutive Connections,Groundwater & GWUDI"
CA3410009,FAIR OAKS WATER DISTRICT,SACRAMENTO,35377,14270,35377,"Consecutive Connections,Groundwater & GWUDI"
CA3710013,LAKESIDE WD,SAN DIEGO,35500,6965,35500,"Consecutive Connections,Groundwater & GWUDI"
CA0110011,CITY OF LIVERMORE,ALAMEDA,35672,9932,35672,Consecutive Connections
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,LOS ANGELES,36455,968,36455,"Consecutive Connections,Groundwater & GWUDI,Surface Water"
CA3710750,NAS NORTH ISLAND & NAB CORONADO,SAN DIEGO,36500,1385,36500,Consecutive Connections
